isolated prestige,isolated citations,relational prestige,relational citations,review score
"[False, False, False, False, False]","[6, 811, 33, 99, 2575]",[],[],0.6666666666666666
"[True, True]","[2, 202]",[],[],0.6666666666666666
"[True, True, True, True, False, True, True, True]","[104, 354, 9754, 60, 741, 789, 4422, 24407]","[True, True, True, True, True, True, True, False, True, True, False, False, True, False, True, False, False, True, True, True, False, True, True, True, False, False, True, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True, False, False, True, False, True, True, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True]","[1117, 290, 3235, 166, 16817, 145, 6441, 0, 8546, 4, 867, 225, 251, 4112, 58, 99, 227, 22573, 44, 20, 567, 3867, 2667, 145, 0, 0, 350, 405, 1, 6, 53579, 6404, 0, 6426, 774, 679, 1250, 22, 251, 376, 1, 169, 0, 963, 2, 577, 57, 5958, 184, 11196, 1321, 3732, 0, 0, 22446, 942, 1712, 16817, 1889, 0, 963, 8, 14728, 212, 70, 105, 1318, 671, 46, 212, 2, 1267, 31, 1267, 8804, 106, 16817, 114, 8, 24, 223]",0.8666666666666667
"[False, False]","[6, 1583]",[],[],0.7333333333333334
"[False, False, True]","[3276, 17, 750]",[],[],0.3333333333333333
"[True, False, True, False, True]","[17, 7021, 71, 4762, 2624]","[False, False, True, False, True]","[39600, 2813, 246, 343, 2]",0.8666666666666667
"[True, False, False, False]","[5, 842, 817, 1360]",[False],[12],0.5333333333333333
"[False, False, False, False, False]","[0, 0, 0, 0, 0]",[],[],0.3333333333333333
"[True, True, True]","[1267, 354, 2]","[True, True, True, True, True, True, True, False, True, True, True, True, False, True, False, False, True, False, True, False, False, True, True, True, True, True, True, False, True, True, False, False, True, False]","[1117, 963, 4422, 104, 166, 57, 6441, 184, 11196, 60, 24407, 9754, 0, 22446, 741, 942, 8, 99, 70, 105, 227, 44, 20, 789, 2667, 145, 1267, 106, 350, 1, 114, 6426, 22, 376]",0.8
"[False, True, True, True, True]","[963, 24, 24407, 53579, 4422]","[True, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, True, False, False, True, True, True, False, True, True, True, True, False, False, True, True, True, True, False, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, False, False, True, True, False, True, True, False, True, False, True, False, False, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, False, True, True]","[1117, 3235, 290, 166, 145, 16817, 6441, 0, 8546, 60, 4, 867, 225, 251, 4112, 58, 354, 99, 227, 22573, 44, 20, 567, 789, 3867, 2667, 145, 0, 0, 350, 405, 1, 6, 6404, 0, 6426, 774, 679, 1250, 22, 251, 376, 1, 169, 0, 963, 104, 577, 57, 5958, 184, 1321, 11196, 0, 3732, 9754, 0, 22446, 741, 1889, 0, 942, 1712, 16817, 8, 14728, 212, 70, 105, 1318, 671, 46, 212, 2, 31, 1267, 8804, 106, 16817, 114, 8, 223]",0.7333333333333334
"[True, False, True, True, True, True]","[30, 12649, 101, 8, 6, 0]",[],[],0.0
"[False, False]","[0, 0]",[],[],0.13333333333333333
"[True, False, False, False]","[3, 1, 920, 5210]","[True, False, True]","[10126, 3396, 365]",0.3333333333333333
"[True, True, True, True, True, True, True]","[8, 2990, 46, 56, 2595, 382, 925]",[],[],0.3333333333333333
"[True, True, True, True, True, True, True, True, True, True, True, True, True]","[251, 1, 4, 57, 212, 1117, 60, 774, 46, 16817, 1712, 789, 24407]","[True, True, True, True, True, True, False, True, False, False, True, False, True, True, False, False, True, True, True, False, True, True, True, False, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, False, True, True, False, True, False, True, True, False, False, True, True, False, True, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True]","[290, 3235, 166, 16817, 145, 6441, 0, 8546, 867, 225, 251, 4112, 58, 354, 99, 227, 22573, 44, 20, 567, 3867, 2667, 145, 0, 350, 405, 1, 6, 53579, 0, 6426, 679, 22, 376, 169, 0, 963, 4422, 104, 577, 184, 11196, 1321, 0, 9754, 0, 3732, 22446, 741, 942, 16817, 1889, 963, 8, 14728, 212, 105, 70, 1318, 671, 2, 31, 1267, 8804, 106, 114, 8, 24, 223]",0.6666666666666666
"[True, True, False, True, False, False]","[3, 641, 2340, 1152, 16375, 1479]","[True, False, True]","[720, 0, 1058]",0.8666666666666667
"[False, False, True, True, True, True, False]","[2536, 811, 24, 6, 4502, 5944, 19388]",[],[],0.6666666666666666
"[False, False, True, True, True, False, False, False, False]","[1, 0, 2, 0, 3, 4, 4177, 0, 0]","[False, True, True, True, True]","[0, 4, 598, 1, 30862]",0.26666666666666666
"[True, False, True, False, False]","[2, 55, 2, 0, 466]",[],[],0.4666666666666666
"[True, True, True, True, True]","[2990, 8, 56, 2595, 925]","[True, True]","[46, 382]",0.13333333333333333
"[True, True, True]","[491, 5685, 2722]","[True, True, True, False, False, True, False, True, True]","[3, 73, 2, 0, 66, 2722, 403, 25158, 1]",0.7333333333333334
"[True, True, False, True]","[39, 35531, 587, 0]",[],[],0.26666666666666666
"[True, True, True, False]","[8, 47, 13642, 161]","[True, True, True, True, True]","[164, 358, 448, 12509, 929]",0.4000000000000001
"[True, True, True, True, True, True, True, True, True, True]","[115, 137, 11, 9, 616, 27, 1588, 8622, 10000, 292]",[False],[14],0.5333333333333333
"[False, False, False, False]","[0, 12924, 1252, 353]",[],[],0.4666666666666666
"[False, False]","[0, 105]",[],[],0.6666666666666666
"[True, False, True, False, False]","[13, 0, 3, 0, 0]",[],[],0.26666666666666666
"[True, True, False, True, True, True, True]","[1, 439, 0, 320, 7243, 66233, 1102]",[],[],0.7333333333333334
"[False, False, False]","[6, 12924, 2645]",[],[],0.26666666666666666
"[True, False, True, False, True, False, True, False, False, False, False]","[800, 0, 322, 0, 5, 0, 1378, 0, 0, 10015, 0]",[],[],0.3333333333333333
"[False, True, True]","[0, 161, 965]",[],[],0.0
"[True, True, True, True, True]","[563, 5, 92, 7604, 4764]","[True, True, True, True, True, True]","[11812, 113, 563, 393, 230, 15964]",0.8666666666666667
"[True, False, False]","[250, 0, 122]","[False, True, True, False, True, True, False]","[1153, 3, 599, 0, 352, 1002, 0]",0.26666666666666666
"[False, False, False, False]","[0, 0, 0, 0]",[],[],0.0
