ego prestige,ego citations,relational prestige,relational citations,avg review score
4,11548,"[4, 151, 4]","[422, 5336, 5495]",0.5555555555555556
99,347,"[99, 99, 99, 99]","[198, 13, 65, 216]",0.42777777777777787
99,198,"[99, 99]","[347, 216]",0.625
99,216,"[99, 99]","[198, 347]",0.625
500,0,"[4, 99, 4, 4, 99, 4]","[3413, 204, 99, 2, 53, 2]",0.5277777777777778
4,99,"[4, 99, 500, 4, 99, 4]","[3413, 204, 0, 2, 53, 2]",0.5277777777777778
4,2,"[4, 99, 500, 4, 4, 99]","[3413, 204, 0, 99, 2, 53]",0.5277777777777778
4,2,"[4, 99, 500, 4, 99, 4]","[3413, 204, 0, 99, 53, 2]",0.5277777777777778
99,204,"[4, 500, 4, 4, 99, 4]","[3413, 0, 99, 2, 53, 2]",0.5277777777777778
99,53,"[4, 99, 500, 4, 4, 4]","[3413, 204, 0, 99, 2, 2]",0.5277777777777778
4,3413,"[4, 5, 4, 99, 10, 5, 4, 101, 99, 4, 151, 301, 4, 4, 99, 61, 4, 4, 99, 99, 4, 54, 151, 6, 4, 99, 61, 4, 99, 4, 101, 4, 4, 4, 4, 500, 15, 5, False, 99, 4, 4, 4, 29, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 500, 4, 29, 101, 4, 4]","[51, 19312, 42, 204, 5511, 284, 29, 23, 116, 17328, 1904, 12631, 16, 0, 10048, 4, 20, 11274, 99, 53, 920, 5373, 25, 13502, 6, 37, 40, 84, 47, 8, 14558, 105, 920, 8, 51, 0, 66, 284, 0, 644, 516, 5182, 30, 20, 335, 1672, 518, 8201, 23, 99, 2, 6953, 11, 49, 2, 46, 815, 39932, 29, 0, 205, 7308, 77767, 8, 17]",0.5724183006535947
99,0,"[101, 99, 29]","[39, 1813, 165]",0.375
101,39,"[99, 99, 29]","[1813, 0, 165]",0.3375
29,165,"[101, 99, 99]","[39, 1813, 0]",0.375
99,1813,"[101, 99, 29]","[39, 0, 165]",0.375
27,11,"[201, 99, 500, 6]","[4051, 6, 0, 21091]",0.5277777777777778
500,0,"[201, 27, 99, 6]","[4051, 11, 6, 21091]",0.5277777777777778
99,6,"[201, 27, 500, 6]","[4051, 11, 0, 21091]",0.5277777777777778
6,21091,"[201, 27, 99, 500]","[4051, 11, 6, 0]",0.5277777777777778
201,4051,"[27, 99, 500, 6]","[11, 6, 0, 21091]",0.5277777777777778
500,0,"[99, 101, 99]","[1319, 524, 117]",0.5555555555555556
99,1319,"[500, 101, 99]","[0, 524, 117]",0.5555555555555556
99,117,"[500, 99, 101, 99]","[0, 1319, 524, 0]",0.4444444444444444
101,524,"[500, 99, 99, 99]","[0, 1319, 117, 117]",0.2777777777777778
101,404,"[2, 301, 101, 101, 201, 101, 99, 101, 201, 29, 101]","[138, 1063, 55, 3618, 5381, 368, 4996, 105, 36, 249, 8]",0.5363984674329502
99,4996,"[2, 61, 61, 99, 101, 101, 5, 99, 101, 99, 83, 12, 101, 50, 61, 29, 101, 11, 61]","[138, 11048, 92, 5701, 55, 3618, 8832, 5483, 404, 67, 923, 1294, 979, 27, 189, 249, 8, 1773, 18572]",0.5176767676767676
99,28,[4],[2315],0.7777777777777778
4,2315,[99],[28],0.7777777777777778
4,60,[4],[7108],0.125
4,7108,[4],[60],0.125
500,0,"[29, 99, 151]","[1594, 1666, 1417]",0.25
99,1666,"[29, 500, 151]","[1594, 0, 1417]",0.25
29,1594,"[99, 500, 151]","[1666, 0, 1417]",0.25
99,2,"[101, 99, 61]","[114, 305, 603]",0.5
61,603,"[101, 99]","[114, 2]",0.375
101,114,"[61, 99]","[603, 2]",0.375
99,1,"[500, 151, 151]","[0, 33, 27]",0.5
500,0,"[99, 151, 151]","[1, 33, 27]",0.5
151,27,"[99, 500, 151]","[1, 0, 33]",0.5
151,33,"[99, 151, 500, 151]","[1, 0, 0, 27]",0.6666666666666666
99,305,[99],[2],0.625
151,0,[151],[33],0.75
2,0,"[6, 13, 2]","[1676, 224, 1143]",0.4027777777777778
13,224,"[101, 2, 6, 2, 13]","[39, 1143, 1676, 0, 17001]",0.628968253968254
6,1676,"[13, 2, 2]","[224, 0, 1143]",0.4027777777777778
2,1143,"[6, 13, 2]","[1676, 224, 0]",0.4027777777777778
99,57,"[56, 27, 16, 99, 99, 27, 99, 99, 32, 64, 101, 99]","[14, 616, 4008, 496, 71, 1455, 606, 335, 2530, 4116, 593, 142]",0.6507936507936508
99,71,"[99, 99]","[57, 496]",1.0
99,496,"[99, 99]","[57, 71]",1.0
101,872,"[12, 2, 12, 12, 12]","[79, 760, 9970, 12106, 15]",1.0
2,760,"[12, 12, 12, 12, 101]","[79, 9970, 12106, 15, 872]",1.0
12,79,"[2, 12, 12, 12, 12, 2, 101]","[760, 887, 9970, 12106, 15, 11636, 872]",0.619047619047619
12,15,"[12, 2, 12, 12, 101]","[79, 760, 9970, 12106, 872]",1.0
12,12106,"[12, 2, 12, 12, 101]","[79, 760, 9970, 15, 872]",1.0
12,9970,"[12, 2, 12, 12, 101]","[79, 760, 12106, 15, 872]",1.0
99,0,"[99, 7, 99, 52]","[214, 6599, 18, 2]",0.75
52,2,"[99, 99, 99, 7]","[214, 0, 18, 6599]",0.75
99,18,"[99, 7, 99, 52]","[214, 6599, 0, 2]",0.75
7,6599,"[99, 99, 99, 52]","[214, 0, 18, 2]",0.75
99,214,"[7, 99, 99, 52]","[6599, 0, 18, 2]",0.75
201,48629,"[99, 99, 7, 101]","[1300, 0, 553, 4]",0.5555555555555556
7,553,"[99, 101, 99, 201]","[0, 4, 1300, 48629]",0.5555555555555556
101,4,"[99, 99, 7, 201]","[1300, 0, 553, 48629]",0.5555555555555556
99,0,"[99, 101, 7, 201]","[1300, 4, 553, 48629]",0.5555555555555556
99,1300,"[99, 101, 7, 201]","[0, 4, 553, 48629]",0.5555555555555556
402,20,"[99, 99, 99, 99, 99, 500, 99, 12]","[52, 28, 1653, 52, 1, 0, 2, 26]",0.7777777777777778
99,2,"[402, 99, 99, 99, 99, 99, 500, 12]","[20, 52, 28, 1653, 52, 1, 0, 26]",0.7777777777777778
12,26,"[402, 12, 99, 500, 99, 99, 99, 99, 12, 99, 500, 99]","[20, 2, 52, 0, 28, 1653, 7, 52, 2, 1, 0, 2]",0.5238095238095238
99,52,"[402, 99, 99, 99, 99, 500, 99, 12]","[20, 52, 28, 1653, 1, 0, 2, 26]",0.7777777777777778
99,28,"[402, 99, 99, 99, 99, 500, 99, 12]","[20, 52, 1653, 52, 1, 0, 2, 26]",0.7777777777777778
500,0,"[402, 99, 99, 99, 99, 99, 99, 12]","[20, 52, 28, 1653, 52, 1, 2, 26]",0.7777777777777778
99,1,"[402, 99, 99, 99, 99, 500, 99, 12]","[20, 52, 28, 1653, 52, 0, 2, 26]",0.7777777777777778
99,52,"[402, 99, 99, 99, 99, 500, 99, 12]","[20, 28, 1653, 52, 1, 0, 2, 26]",0.7777777777777778
99,1653,"[402, 99, 99, 99, 99, 500, 99, 12]","[20, 52, 28, 52, 1, 0, 2, 26]",0.7777777777777778
500,0,"[83, 2]","[118, 14060]",0.625
83,118,"[2, 500]","[14060, 0]",0.625
2,14060,"[83, 500]","[118, 0]",0.625
201,20127,"[101, 99, 6]","[536, 5, 1010]",0.5
99,5,"[101, 201, 6]","[536, 20127, 1010]",0.5
101,536,"[201, 6, 99]","[20127, 1010, 5]",0.5
6,1010,"[101, 201, 99]","[536, 20127, 5]",0.5
101,77,[101],[283],0.5
101,283,"[500, 99, 101, 101, 101]","[0, 65, 634, 77, 77767]",0.44000000000000006
500,0,"[90, 99, 201]","[720, 1058, 1479]",0.6
99,1058,"[101, 101, 90, 99, 201, 500, 301, 99, 99]","[14638, 517, 720, 60, 1479, 0, 1117, 580, 2]",0.6177777777777778
201,1479,"[201, 99, 73, 99, 90, 301, 500, 99]","[16375, 1058, 1152, 3, 720, 2340, 0, 641]",0.6727272727272727
90,720,"[99, 500, 201]","[1058, 0, 1479]",0.6
201,387,"[8, 99, 99, 8, 55]","[1352, 9, 3, 427, 2280]",0.4
8,427,"[201, 8, 99, 99, 55]","[387, 1352, 9, 3, 2280]",0.4
99,9,"[201, 8, 99, 8, 55]","[387, 1352, 3, 427, 2280]",0.4
55,2280,"[201, 8, 99, 99, 8]","[387, 1352, 9, 3, 427]",0.4
8,1352,"[201, 99, 99, 8, 55]","[387, 9, 3, 427, 2280]",0.4
99,3,"[201, 8, 99, 8, 55]","[387, 1352, 9, 427, 2280]",0.4
101,0,[],[],0.06666666666666667
500,0,"[99, 500, 99]","[995, 0, 101]",0.2
99,995,"[500, 500, 99]","[0, 0, 101]",0.2
15,53,[],[],0.4
2,23,"[2, 2, 2, 2]","[187, 3997, 143, 9970]",0.8
2,187,"[2, 2, 2, 2]","[9970, 143, 3997, 23]",0.8
2,143,"[2, 2, 2, 2]","[187, 3997, 9970, 23]",0.8
