ego prestige,ego citations,relational prestige,relational citations,avg review score
99,364,[99],[5],0.6337448559670782
99,2,[99],[0],0.11111111111111109
99,0,[99],[2],0.11111111111111109
75,15,"[75, 75]","[8, 5252]",0.5555555555555555
75,8,"[75, 75]","[5252, 15]",0.5555555555555555
75,5252,"[75, 75]","[8, 15]",0.5555555555555555
2,59559,"[29, 401, 61, 500, 99]","[1131, 69, 282, 0, 1685]",0.5843621399176955
61,282,[2],[59559],0.48148148148148145
401,2,[],[],0.22222222222222224
99,30,"[99, 101]","[443, 8722]",0.3703703703703704
101,8722,"[99, 99, 99]","[443, 30, 675]",0.40476190476190477
27,579,"[99, 101, 99, 99, 99, 27, 12]","[130, 2588, 10, 443, 65, 24219, 2549]",0.5185185185185185
27,24219,"[99, 101, 99, 99, 99, 27, 12]","[130, 2588, 10, 443, 65, 579, 2549]",0.5185185185185185
12,2549,"[27, 99, 101, 99, 99, 73, 99, 4, 61, 99, 101, 99, 25, 27, 151, 31, 500, 99, 27, 27]","[24616, 130, 2588, 7, 10, 8575, 443, 7, 248, 65, 203, 0, 1252, 579, 8720, 406, 0, 2028, 24219, 352]",0.5791245791245792
25,26,"[5, 13, 54, 99, 500, 99]","[3033, 84, 209, 4132, 0, 455]",0.3333333333333333
500,0,"[5, 13, 54, 99, 25, 99]","[3033, 84, 209, 4132, 26, 455]",0.3333333333333333
13,84,"[5, 13, 13, 54, 13, 2, 5, 2, 27, 2, 500, 99, 1, 500, 25, 99, 99, 4]","[3033, 36525, 4093, 209, 2256, 203, 1502, 188, 10456, 1509, 0, 4132, 592, 0, 26, 15, 455, 518]",0.4305555555555555
99,4132,"[5, 13, 54, 99, 99, 500, 25, 99]","[3033, 84, 209, 3249, 24, 0, 26, 455]",0.3333333333333333
201,5,"[201, 201]","[334, 2616]",0.6296296296296297
201,2616,"[201, 201, 201, 201, 500, 201, 7]","[33, 25, 5, 14, 0, 334, 1787]",0.5074074074074074
201,334,"[201, 201]","[2616, 5]",0.6296296296296297
10,629,[500],[0],0.6296296296296297
500,0,[10],[629],0.6296296296296297
53,8964,[401],[749],0.1851851851851852
401,749,[53],[8964],0.1851851851851852
201,6744,"[99, 29, 29, 99, 6, 27]","[246, 2038, 13, 10, 3628, 10456]",0.41481481481481475
99,2,"[5, 5]","[449, 3439]",0.3703703703703704
5,449,"[5, 99]","[3439, 2]",0.3703703703703704
201,57651,"[401, 401, 99, 99, 99, 2, 31]","[10454, 1029, 1896, 44, 407, 3627, 191]",0.46527777777777773
31,191,"[2, 401, 201]","[3627, 1029, 57651]",0.4074074074074074
99,24,"[401, 52]","[701, 7902]",0.4074074074074074
52,7902,"[401, 99, 99, 73, 99, 99, 99]","[701, 90, 153, 145, 58, 60, 24]",0.5061728395061729
401,701,"[99, 99, 73, 52, 99, 99, 99]","[90, 153, 145, 7902, 58, 60, 24]",0.5061728395061729
9,66,"[2, 29, 83, 99]","[316, 351, 420, 68]",0.4074074074074074
83,420,"[9, 2, 29, 99]","[66, 316, 351, 68]",0.4074074074074074
29,351,"[9, 2, 83, 99]","[66, 316, 420, 68]",0.4074074074074074
99,68,"[9, 2, 29, 83]","[66, 316, 351, 420]",0.4074074074074074
2,316,"[9, 29, 83, 99]","[66, 351, 420, 68]",0.4074074074074074
99,1,"[61, 61]","[277, 10841]",0.3333333333333333
61,277,"[99, 61]","[1, 10841]",0.3333333333333333
61,10841,"[61, 99]","[277, 1]",0.3333333333333333
99,92,"[50, 101, 99, 2, 2, 4, 101, 27, 99, 2, 201, 2, 401, 99, 99, 101, 99, 2, 4, 2, 301, 99, 101, 99, 14, 16, 2, 101, 99, 500]","[508, 2964, 100, 18844, 1054, 1067, 12173, 1424, 88, 0, 3672, 1853, 18623, 2, 153, 15901, 746, 90, 1929, 478, 483, 60, 781, 20, 1000, 3180, 645, 781, 8, 0]",0.5868055555555556
500,0,"[99, 101]","[92, 781]",0.5185185185185186
101,781,"[50, 101, 99, 14, 2, 301, 201, 101, 99, 99, 500]","[508, 2964, 20, 1000, 478, 483, 3672, 12173, 92, 8, 0]",0.5740740740740741
301,9324,"[31, 29, 151]","[926, 586, 5568]",0.5185185185185185
151,5568,"[301, 31, 29]","[9324, 926, 586]",0.5185185185185185
29,586,"[301, 31, 151]","[9324, 926, 5568]",0.5185185185185185
31,926,"[301, 29, 151]","[9324, 586, 5568]",0.5185185185185185
17,9,"[17, 101, 17]","[4, 968, 5411]",0.7037037037037037
17,4,"[101, 17, 17]","[968, 9, 5411]",0.7037037037037037
101,968,"[17, 17, 17]","[4, 9, 5411]",0.7037037037037037
17,5411,"[17, 17, 61, 17, 101, 17]","[54, 9, 811, 1, 968, 4]",0.6592592592592593
101,39,"[13, 13]","[17001, 224]",0.6666666666666666
101,8,"[101, 101, 99]","[2728, 181, 304]",0.5555555555555556
101,181,"[101, 101, 99]","[2728, 8, 304]",0.5555555555555556
99,304,"[101, 101, 101]","[2728, 181, 8]",0.5555555555555556
101,2728,"[101, 101, 99]","[181, 8, 304]",0.5555555555555556
99,0,"[99, 99, 55]","[298, 1088, 2163]",0.3333333333333333
99,298,"[55, 99, 99]","[2163, 1088, 0]",0.3333333333333333
99,1088,"[99, 55, 99]","[298, 2163, 0]",0.3333333333333333
55,2163,"[99, 99, 99]","[298, 1088, 0]",0.3333333333333333
99,148,"[401, 99, 4, 401, 99, 500, 500, 99, 99, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 0, 0, 452, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
500,0,"[401, 99, 4, 99, 99, 401, 500, 99, 99, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 203, 148, 371, 0, 452, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
301,173,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 4, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 258, 0, 25, 674]",0.6296296296296297
99,203,"[401, 99, 4, 401, 99, 500, 500, 99, 99, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 148, 0, 0, 452, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
401,371,"[401, 99, 4, 99, 99, 500, 500, 99, 99, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 203, 148, 0, 0, 452, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
401,122,"[99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 4, 301, 500, 99, 52]","[499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
99,69,"[401, 99, 4, 401, 99, 99, 500, 99, 500, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 0, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
99,499,"[401, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 4, 301, 500, 99, 52]","[122, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
99,96,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 258, 173, 0, 25, 674]",0.6296296296296297
4,258,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 173, 0, 25, 674]",0.6296296296296297
52,674,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 4, 301, 500, 99]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 258, 173, 0, 25]",0.6296296296296297
4,4508,"[99, 500, 99, 99, 4, 99, 101, 99, 201, 401, 500, 31, 301, 99, 52, 99, 99, 201, 99, 401, 99, 500]","[148, 0, 452, 96, 258, 543, 8020, 499, 57651, 371, 0, 5709, 173, 25, 674, 203, 0, 16878, 410, 122, 69, 0]",0.6222222222222221
99,452,"[401, 99, 4, 401, 99, 99, 500, 500, 99, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 0, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
500,0,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 4, 301, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 258, 173, 25, 674]",0.6296296296296297
500,0,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 99, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
99,0,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 4, 301, 500, 99, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 96, 258, 173, 0, 25, 674]",0.6296296296296297
99,25,"[401, 99, 4, 401, 99, 99, 500, 99, 99, 500, 99, 99, 4, 301, 500, 52]","[122, 499, 4508, 371, 203, 148, 0, 452, 69, 0, 0, 96, 258, 173, 0, 674]",0.6296296296296297
54,9,"[54, 54, 54, 54]","[46, 3212, 14, 628]",0.40740740740740744
54,628,"[10, 54, 99, 99, 54, 54, 99, 54, 99, 99]","[1741, 14, 12, 16, 9, 3212, 11, 46, 481, 7]",0.42962962962962964
54,46,"[54, 54, 54, 54]","[9, 3212, 14, 628]",0.40740740740740744
54,14,"[54, 54, 54, 54]","[9, 46, 3212, 628]",0.40740740740740744
54,3212,"[54, 54, 54, 54]","[9, 46, 14, 628]",0.40740740740740744
99,72,"[61, 201, 101, 29, 301, 99, 29, 401, 301]","[1081, 1198, 67323, 2440, 3452, 177, 1123, 191, 3686]",0.6296296296296297
201,1198,"[61, 34, 500, 13, 99, 101, 29, 301, 99, 99, 29, 29, 17, 101, 401, 99, 99, 101, 201, 301]","[1081, 1166, 0, 1179, 14, 67323, 2440, 3452, 177, 72, 17, 1123, 6393, 12666, 191, 11, 124, 77767, 709, 3686]",0.5608465608465609
301,3686,"[61, 201, 101, 29, 301, 99, 99, 29, 151, 99, 401, 15, 301]","[1081, 1198, 67323, 2440, 3452, 177, 72, 1123, 6512, 396, 191, 815, 4443]",0.6349206349206349
101,67323,"[61, 201, 34, 13, 99, 29, 301, 99, 99, 29, 101, 401, 301]","[1081, 1198, 1166, 1179, 14, 2440, 3452, 177, 72, 1123, 12666, 191, 3686]",0.5925925925925924
29,1123,"[61, 29, 29, 201, 500, 101, 29, 301, 99, 99, 29, 99, 29, 401, 29, 301, 29]","[1081, 7308, 56930, 1198, 0, 67323, 2440, 3452, 177, 72, 163, 2590, 20, 191, 10, 3686, 3020]",0.6349206349206348
301,3452,"[61, 201, 101, 29, 99, 99, 29, 401, 301]","[1081, 1198, 67323, 2440, 177, 72, 1123, 191, 3686]",0.6296296296296297
99,177,"[61, 201, 401, 401, 101, 29, 301, 99, 29, 29, 401, 101, 99, 301, 17]","[1081, 1198, 44, 256, 67323, 2440, 3452, 72, 1123, 2440, 191, 10, 439, 3686, 6393]",0.6296296296296295
99,8,"[99, 151, 90, 90, 401]","[39, 136, 2466, 309, 3361]",0.6666666666666666
99,39,"[151, 90, 90, 401, 99]","[136, 2466, 309, 3361, 8]",0.6666666666666666
90,2466,"[99, 151, 90, 401, 99]","[39, 136, 309, 3361, 8]",0.6666666666666666
99,1,"[99, 99]","[309, 226]",0.22222222222222224
99,309,"[99, 99]","[1, 226]",0.22222222222222224
99,226,"[99, 99]","[309, 1]",0.22222222222222224
99,32,"[4, 25, 25, 151, 4, 99, 401]","[8201, 50207, 142, 45306, 707, 2768, 5532]",0.5185185185185185
401,5532,"[4, 25, 25, 151, 4, 99, 99]","[8201, 50207, 142, 45306, 707, 2768, 32]",0.5185185185185185
99,2768,"[4, 4, 4, 5, 25, 4, 4, 101, 99, 25, 99, 151, 4, 151, 4, 99, 99, 401, 4]","[8201, 48, 1539, 3033, 50207, 14, 25, 5047, 350, 142, 988, 45306, 328, 1358, 707, 30, 32, 5532, 47]",0.5740740740740741
25,142,"[4, 25, 25, 25, 25, 25, 25, 25, 40, 151, 4, 99, 61, 25, 99, 401, 25]","[8201, 455, 1075, 244, 50207, 2165, 15, 90, 1, 45306, 707, 2768, 25431, 2165, 32, 5532, 12]",0.5767195767195767
25,50207,"[4, 101, 25, 151, 101, 151, 4, 99, 27, 61, 101, 4, 101, 99, 4, 61, 99, 1, 99, 99, 99, 401, 4, 25, 25, 99, 99]","[1539, 128, 142, 45306, 289, 1358, 707, 1217, 10456, 180, 5047, 840, 53, 32, 2413, 164, 30, 180, 2768, 969, 89, 5532, 8201, 1718, 90, 32, 29]",0.5452196382428941
101,180,"[201, 101, 201, 2, 101]","[8219, 1019, 152, 2681, 2583]",0.4444444444444445
201,8219,"[101, 101, 201, 2, 101]","[180, 1019, 152, 2681, 2583]",0.4444444444444445
101,1019,"[99, 101, 201, 6, 101, 201, 2, 101]","[13, 180, 8219, 8834, 980, 152, 2681, 2583]",0.4740740740740741
201,152,"[101, 201, 101, 2, 101]","[180, 8219, 1019, 2681, 2583]",0.4444444444444445
101,2583,"[101, 201, 201, 2, 101]","[180, 8219, 152, 2681, 1019]",0.4444444444444445
2,2681,"[101, 201, 101, 201, 101]","[180, 8219, 1019, 152, 2583]",0.4444444444444445
99,732,"[101, 500, 99, 500]","[980, 0, 14, 0]",0.611111111111111
500,0,"[99, 101, 500]","[732, 980, 0]",0.48148148148148145
500,0,"[99, 101, 500]","[732, 980, 0]",0.48148148148148145
101,980,"[99, 99, 500, 6, 500, 99, 99, 99, 99, 101]","[13, 732, 0, 8834, 0, 2, 9, 6, 14, 1019]",0.6043360433604337
5,86,"[5, 5, 5]","[98, 82, 815]",0.5555555555555555
5,82,"[14, 5, 101, 5, 5]","[38, 815, 3718, 98, 86]",0.40740740740740744
5,815,"[4, 5, 99, 5, 5, 5, 10, 500, 101, 5, 5, 5, 40, 5, 5, 5]","[3413, 19312, 325, 37, 60, 284, 5511, 0, 1307, 82, 48334, 34, 244, 98, 86, 83]",0.5386473429951691
99,491,[301],[139],0.5925925925925927
17,4,"[5, 101, 17]","[3011, 44, 2931]",0.5185185185185185
101,44,"[5, 17, 17]","[3011, 2931, 4]",0.5185185185185185
5,3011,"[101, 17, 17]","[44, 4, 2931]",0.5185185185185185
17,2931,"[5, 101, 17]","[3011, 44, 4]",0.5185185185185185
61,311,"[61, 6]","[5064, 1735]",0.8148148148148148
6,1735,"[61, 61]","[311, 5064]",0.8148148148148148
61,5064,"[61, 6]","[311, 1735]",0.8148148148148148
25,74,"[99, 101]","[53, 17195]",0.8148148148148148
101,17195,"[99, 25]","[53, 74]",0.8148148148148148
99,53,"[101, 25]","[17195, 74]",0.7037037037037037
99,7,"[5, 5, 99, 99, 99, 99]","[1482, 230, 7, 69, 7, 906]",0.6666666666666666
99,7,"[5, 5, 99, 99, 99, 99]","[1482, 230, 7, 69, 7, 906]",0.6666666666666666
5,1482,"[5, 99, 99, 99, 99, 99]","[230, 7, 69, 7, 7, 906]",0.6666666666666666
99,7,"[5, 5, 99, 99, 99, 99]","[1482, 230, 69, 7, 7, 906]",0.6666666666666666
99,69,"[5, 5, 99, 99, 101, 99, 99]","[1482, 230, 7, 7, 3159, 7, 906]",0.5740740740740741
5,230,"[5, 99, 99, 99, 99, 99]","[1482, 7, 69, 7, 7, 906]",0.6666666666666666
99,906,"[5, 5, 99, 99, 99, 99]","[1482, 230, 7, 69, 7, 7]",0.6666666666666666
16,963,"[16, 16, 16]","[19, 386, 13]",0.5925925925925926
16,386,"[16, 16, 16]","[19, 13, 963]",0.5925925925925926
16,19,"[16, 16, 16]","[386, 13, 963]",0.5925925925925926
16,13,"[16, 16, 16]","[19, 386, 963]",0.5925925925925926
151,10,"[99, 99, 99, 99]","[99, 265, 133, 4]",0.3925925925925926
99,4,"[151, 99, 99, 99]","[10, 99, 265, 133]",0.3925925925925926
99,265,"[151, 99, 99, 99]","[10, 99, 133, 4]",0.3925925925925926
99,1885,"[13, 61, 99]","[348, 587, 7]",0.6814814814814816
13,348,"[61, 99, 99]","[587, 1885, 7]",0.6814814814814816
99,40,"[99, 201, 500, 99, 25]","[29, 152, 0, 1217, 659]",0.7037037037037037
201,152,"[99, 500, 99, 99, 25]","[29, 0, 1217, 40, 659]",0.7037037037037037
500,0,"[99, 201, 99, 99, 25]","[29, 152, 1217, 40, 659]",0.7037037037037037
99,29,"[201, 500, 99, 99, 25]","[152, 0, 1217, 40, 659]",0.7037037037037037
500,0,"[101, 101, 101]","[199, 746, 6694]",0.3333333333333333
101,6694,"[500, 101, 101]","[0, 746, 199]",0.3333333333333333
101,746,"[500, 101, 101]","[0, 199, 6694]",0.3333333333333333
4,7,"[99, 101, 12]","[147, 13789, 2549]",0.6666666666666666
99,147,"[4, 101]","[7, 13789]",0.6666666666666666
101,13789,"[99, 99, 15, 4, 15, 101]","[147, 167, 517, 7, 80, 4947]",0.5740740740740741
99,34,"[99, 99, 31]","[13, 22, 1062]",0.5925925925925926
99,13,"[99, 31, 99]","[22, 1062, 34]",0.5925925925925926
99,22,"[13, 31, 4, 99, 99, 99]","[420, 1062, 2209, 347, 34, 13]",0.6296296296296297
31,1062,"[99, 99, 99]","[13, 22, 34]",0.5925925925925926
27,3,"[101, 101, 27, 99]","[1221, 22379, 35, 1]",0.4074074074074074
99,1,"[101, 101, 27, 27]","[1221, 22379, 35, 3]",0.4074074074074074
101,1221,"[101, 27, 25, 27, 2, 99, 2]","[22379, 35, 1252, 3, 24687, 1, 878]",0.4375
101,22379,"[27, 101, 27, 27, 27, 99]","[35, 1221, 42996, 3, 704, 1]",0.47777777777777775
84,310,"[500, 61, 99, 15, 27]","[8, 621, 23, 29166, 10456]",0.5555555555555556
500,8,"[99, 99, 61, 99, 99, 84, 99, 15, 27, 99]","[0, 133, 621, 23, 199, 310, 72, 29166, 10456, 0]",0.562962962962963
61,621,"[101, 500, 49, 99, 84, 12, 2, 15, 99, 27, 27]","[1528, 8, 170, 23, 310, 9896, 22, 29166, 16, 10456, 10456]",0.5555555555555556
99,23,"[500, 61, 84, 15, 27]","[8, 621, 310, 29166, 10456]",0.5555555555555556
15,29166,"[500, 61, 49, 99, 84, 25, 84, 31, 2, 99, 99, 27, 27]","[8, 621, 170, 23, 310, 109247, 310, 1141, 22, 12, 9, 10456, 10456]",0.5802469135802469
64,13,"[64, 64]","[3680, 12]",0.22222222222222224
64,12,"[64, 64]","[3680, 13]",0.22222222222222224
301,50,"[101, 201, 101]","[4, 709, 14638]",0.7037037037037037
201,709,"[101, 201, 500, 34, 13, 99, 101, 101, 301]","[14638, 1198, 0, 1166, 1179, 124, 4, 77767, 50]",0.6814814814814816
101,4,"[301, 101, 201]","[50, 14638, 709]",0.7037037037037037
99,25,"[99, 49]","[969, 7632]",0.7037037037037037
99,969,"[25, 49, 99, 4]","[50207, 7632, 25, 2413]",0.6444444444444445
49,7632,"[99, 99]","[969, 25]",0.7037037037037037
15,44,"[151, 101]","[4052, 4505]",0.4444444444444444
151,4052,"[99, 5, 99, 61, 101, 29, 50, 15, 15, 101]","[23, 8832, 514, 6942, 31, 6055, 207, 13, 44, 4505]",0.5333333333333333
101,4505,"[151, 15]","[4052, 44]",0.4444444444444444
99,538,"[99, 99]","[1152, 64]",0.4074074074074074
99,64,"[99, 99]","[538, 1152]",0.4074074074074074
99,1152,"[99, 99]","[538, 64]",0.4074074074074074
500,0,"[27, 27, 301, 27]","[0, 6729, 19, 0]",0.48148148148148145
101,1,"[16, 201, 99]","[3203, 187, 25]",0.3703703703703703
99,25,"[101, 201, 16]","[1, 187, 3203]",0.3703703703703703
201,187,"[101, 16, 99]","[1, 3203, 25]",0.3703703703703703
16,3203,"[101, 201, 99]","[1, 187, 25]",0.3703703703703703
15,119,[50],[16516],0.5185185185185186
50,16516,"[15, 15]","[180, 119]",0.4848484848484849
301,723,"[4, 25, 99, 99, 99, 99, 61, 99]","[1019, 583, 6, 27, 479, 365, 3309, 30]",0.5555555555555555
99,30,"[61, 4, 301, 99]","[3309, 1019, 723, 6]",0.5555555555555556
99,6,"[61, 4, 301, 99]","[3309, 1019, 723, 30]",0.5555555555555556
4,1019,"[61, 301, 99, 99]","[3309, 723, 6, 30]",0.5555555555555556
61,3309,"[4, 301, 99, 99]","[1019, 723, 6, 30]",0.5555555555555556
99,132,"[99, 101, 27, 2, 12]","[0, 2671, 45, 11636, 887]",0.5770609318996416
101,2002,"[151, 99, 401]","[5966, 16, 17160]",0.48148148148148145
99,16,"[151, 401, 101]","[5966, 17160, 2002]",0.48148148148148145
401,17160,"[151, 99, 101]","[5966, 16, 2002]",0.48148148148148145
201,59057,"[101, 151]","[1606, 8483]",0.4814814814814814
151,8483,"[201, 101]","[59057, 1606]",0.4814814814814814
101,1606,"[201, 151]","[59057, 8483]",0.4814814814814814
99,8,"[5, 99]","[3439, 2]",0.22222222222222224
99,2,"[5, 99]","[3439, 8]",0.22222222222222224
99,929,"[16, 16, 16]","[358, 13642, 12509]",0.48148148148148145
16,358,"[16, 99, 16]","[13642, 929, 12509]",0.48148148148148145
16,12509,"[16, 16, 99]","[358, 13642, 929]",0.48148148148148145
99,122,"[5, 99]","[3372, 52]",0.6666666666666666
5,3372,"[99, 99]","[52, 122]",0.6666666666666666
99,52,"[101, 1, 99, 101, 101, 5]","[14638, 15, 122, 1307, 24, 3372]",0.5925925925925926
101,188,"[99, 201, 101, 99]","[3993, 745, 9873, 1450]",0.2962962962962963
99,3993,"[101, 201, 101, 99]","[188, 745, 9873, 1450]",0.2962962962962963
201,745,"[99, 101, 101, 99]","[3993, 188, 9873, 1450]",0.2962962962962963
99,1450,"[99, 101, 201, 101]","[3993, 188, 745, 9873]",0.2962962962962963
101,9873,"[99, 101, 201, 99]","[3993, 188, 745, 1450]",0.2962962962962963
34,1,[401],[697],0.2962962962962963
401,697,[34],[1],0.2962962962962963
99,58,"[99, 99, 56, 34, 99, 99]","[1, 1, 31, 1107, 4, 3]",0.4592592592592592
99,1,"[99, 34, 99]","[58, 1107, 1]",0.4074074074074074
99,1,"[99, 99, 34]","[1, 58, 1107]",0.4074074074074074
34,1107,"[99, 99, 56, 99, 99, 99]","[1, 1, 31, 58, 4, 3]",0.4592592592592592
2,124,"[5, 99, 99, 2, 57]","[3033, 988, 153, 30497, 7567]",0.5555555555555555
99,153,"[2, 5, 99, 12, 101, 2, 57]","[124, 3033, 988, 9896, 7515, 30497, 7567]",0.5679012345679012
99,988,"[4, 2, 5, 5, 13, 2, 93, 99, 99, 2, 2, 57, 13, 14, 4]","[8201, 124, 3033, 4354, 1625, 2229, 12451, 153, 2768, 30497, 433, 7567, 1625, 119, 47]",0.6
2,30497,"[2, 5, 99, 99, 57]","[124, 3033, 988, 153, 7567]",0.5555555555555555
57,7567,"[2, 5, 99, 99, 2]","[124, 3033, 988, 153, 30497]",0.5555555555555555
99,22,"[99, 99, 99]","[299, 4468, 12]",0.3185185185185185
99,4468,"[99, 99, 99, 7, 99]","[79, 22, 299, 9237, 13]",0.5925925925925926
99,299,"[99, 99, 7, 99, 99, 99]","[79, 22, 9237, 4468, 13, 12]",0.37037037037037035
500,0,"[500, 99, 500]","[0, 0, 0]",0.4814814814814814
99,0,"[500, 500, 500]","[0, 0, 0]",0.4814814814814814
500,0,"[500, 500, 99]","[0, 0, 0]",0.4814814814814814
500,0,"[500, 500, 99]","[0, 0, 0]",0.4814814814814814
99,15,"[64, 99]","[914, 1947]",0.5185185185185185
64,914,"[99, 99]","[15, 1947]",0.5185185185185185
99,1947,"[64, 99]","[914, 15]",0.5185185185185185
10,57,"[61, 10, 10, 83, 101, 10, 61]","[11048, 1737, 52, 923, 979, 17219, 511]",0.6111111111111112
61,511,"[61, 83, 10, 101, 99]","[11048, 923, 57, 979, 35]",0.5185185185185185
38,13,"[54, 4, 99]","[5373, 3808, 853]",0.7037037037037037
99,853,"[54, 101, 4, 38, 99, 401]","[5373, 462, 3808, 13, 13, 441]",0.611111111111111
4,3808,"[54, 99, 38, 4, 99, 15, 101, 101]","[5373, 1, 13, 4170, 853, 152, 2631, 0]",0.6666666666666666
54,5373,"[4, 38, 99]","[3808, 13, 853]",0.7037037037037037
99,14,"[101, 401]","[235, 989]",0.3333333333333333
101,235,"[401, 99]","[989, 14]",0.3333333333333333
401,989,"[101, 99]","[235, 14]",0.3333333333333333
29,25,"[29, 29]","[13853, 70]",0.6592592592592592
49,100,[2],[203],0.6666666666666666
2,203,[49],[100],0.6666666666666666
99,0,"[99, 27]","[0, 1589]",0.36296296296296293
99,0,"[27, 99]","[1589, 0]",0.6296296296296297
27,1589,"[99, 99, 4]","[0, 0, 26]",0.3888888888888889
8,8,[401],[5468],0.5925925925925927
401,5468,[8],[8],0.5925925925925927
99,0,"[75, 75, 75, 75, 75]","[4, 22, 33, 151, 11362]",0.4814814814814814
75,22,"[99, 75, 75, 75, 75]","[0, 4, 33, 151, 11362]",0.4814814814814814
75,4,"[99, 75, 75, 75, 75]","[0, 22, 33, 151, 11362]",0.4814814814814814
75,33,"[99, 75, 75, 75, 75]","[0, 4, 22, 151, 11362]",0.4814814814814814
75,151,"[99, 75, 75, 75, 75]","[0, 4, 22, 33, 11362]",0.4814814814814814
75,11362,"[99, 75, 75, 75, 75]","[0, 4, 22, 33, 151]",0.4814814814814814
99,3,[99],[0],0.48148148148148145
99,0,[99],[3],0.48148148148148145
4,17,"[4, 4, 4, 6]","[3413, 920, 39932, 13502]",0.6296296296296297
6,13502,"[4, 4, 4, 4]","[3413, 920, 39932, 17]",0.6296296296296297
25,90,"[4, 25, 101, 4, 1, 61]","[8201, 50207, 128, 840, 180, 180]",0.537037037037037
500,0,"[2, 402, 99]","[266, 793, 0]",0.48148148148148145
402,793,"[2, 99, 500]","[266, 0, 0]",0.48148148148148145
99,0,"[2, 402, 500]","[266, 793, 0]",0.48148148148148145
2,266,"[99, 402, 500]","[0, 793, 0]",0.48148148148148145
99,2,"[101, 2]","[14558, 10821]",0.3333333333333333
2,10821,"[61, 301, 301, 151, 17, 99, 99, 99, 99, 101, 99, 99, 101]","[11048, 1727, 11, 1824, 6393, 39, 31, 278, 2, 14558, 128, 18, 660]",0.5185185185185185
101,45,"[101, 49]","[2, 1262]",0.5925925925925927
101,2,"[101, 49]","[45, 1262]",0.5925925925925927
49,1262,"[101, 101]","[45, 2]",0.5925925925925927
99,46,"[99, 99, 99, 201]","[122, 176, 329, 6888]",0.2592592592592593
99,329,"[99, 99, 99, 201]","[122, 176, 46, 6888]",0.2592592592592593
99,122,"[99, 99, 99, 201]","[176, 329, 46, 6888]",0.2592592592592593
99,176,"[99, 99, 99, 201]","[122, 329, 46, 6888]",0.2592592592592593
201,6888,"[99, 99, 99, 99]","[122, 176, 329, 46]",0.2592592592592593
8,9,[2],[1178],0.4444444444444445
2,1178,[8],[9],0.4444444444444445
99,12,"[301, 301, 301]","[5197, 12, 1]",0.48148148148148145
301,1,"[301, 301, 99]","[5197, 12, 12]",0.48148148148148145
301,12,"[301, 99, 301]","[5197, 12, 1]",0.48148148148148145
301,5197,"[301, 99, 301]","[12, 12, 1]",0.48148148148148145
99,0,"[5, 401, 5]","[2222, 16720, 367]",0.4074074074074074
401,16720,"[99, 5, 5]","[0, 367, 2222]",0.4074074074074074
99,2337,"[201, 12, 14, 29]","[648, 3389, 0, 1744]",0.48148148148148145
12,3389,"[201, 99, 14, 29]","[648, 2337, 0, 1744]",0.48148148148148145
201,648,"[99, 12, 14, 29]","[2337, 3389, 0, 1744]",0.48148148148148145
29,1744,"[201, 99, 12, 14]","[648, 2337, 3389, 0]",0.48148148148148145
