isolated prestige,isolated citations,relational prestige,relational citations,review score
"[False, True]","[227, 44]","[False, True, True, True, True, True, False]","[57651, 106, 1896, 179, 1830, 407, 10454]",0.48148148148148145
"[True, True, True, False, True]","[146, 10194, 9920, 667, 14891]","[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True]","[1594, 9896, 97, 1050, 162, 6708, 1531, 888, 5667, 372, 9629, 4008, 117, 971, 28, 2277, 248, 1072, 146, 10919, 0, 1141, 60, 7566, 1800, 1697, 810, 11, 7623, 366, 90, 804, 3257, 894, 266, 2152, 25431, 163, 158, 4765, 1455, 242, 180, 845, 4116, 75, 3575, 203, 8479]",0.6296296296296297
"[False, True, False]","[0, 666, 655]",[],[],0.3333333333333333
"[False, False, False]","[0, 1294, 10046]",[],[],0.3333333333333333
"[False, False, False, True, True, True]","[67, 10, 191, 2763, 2440, 1081]","[True, True, False, True, False, False, True, False, True, False, True, True, True, True, False]","[11, 17, 3686, 72, 1198, 67323, 1123, 44, 6393, 256, 177, 2440, 6393, 439, 3452]",0.7037037037037037
"[False, True, True]","[327, 180, 676]","[True, True, True]","[192, 1757, 0]",0.48148148148148145
"[False, True, True, True, True]","[195, 30, 18, 74, 1502]","[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[455, 149, 2927, 9896, 592, 3988, 36525, 339, 11, 84, 16, 209, 6, 868, 2256, 843, 1509, 188, 25, 116, 1617, 19, 3372]",0.5185185185185185
"[True, True]","[522, 5]","[True, False, False, True, True, True, False, True, True, True]","[30, 0, 1082, 3061, 41, 578, 9, 488, 804, 1]",0.3703703703703703
"[True, True, True, True]","[497, 746, 1853, 18844]","[True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False]","[22, 1067, 487, 6953, 0, 1054, 1929, 87, 391, 90, 92, 2726, 2360, 804, 801, 0, 71, 0, 3180, 12, 478, 1424, 488, 18844, 28647, 39, 2, 17, 20, 52, 0, 42, 647]",0.7037037037037037
"[False, False, True, True, False, True, False]","[23, 25, 116, 47, 0, 3413, 77767]","[False, False, True, True, True, False, True, True, True, False, True, True, False, True, False, True, True, True, False, True, True, False, True, False, True, True, True, False, True, False, True, True, False, False, False, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, False, True, True, False, True, True, False, False, True, True, False, True, False, True, False, True, False, True, False, True, False, False, True, True, True, True, True, True, False, False, False, True, True, False, True, False, False, False, False, False, True, False, True, True, True, True, False, False, True, True, True, True, True, False, False, True, True, False, False, True, True, False, False, True, False, True, False, False, False, True, False, True, False, True, True, False, True, True, True, False, False, False, True, True, True, True, False, True, True, False, False, False, False, False, True, True, False, False, False, False, True, True, True, True]","[160, 1708, 74, 46, 51, 347, 46, 516, 5182, 188, 17328, 204, 7030, 8, 0, 5511, 1078, 2, 13163, 3, 1848, 15, 31, 68, 1217, 2, 51, 23, 0, 0, 13502, 42, 333, 5138, 0, 0, 8, 815, 105, 34, 2, 54, 1502, 14062, 8201, 23, 270, 205, 1672, 5373, 11, 30, 1166, 6953, 11, 66, 74, 65, 2957, 12226, 6, 2, 1129, 7, 644, 0, 105, 284, 12, 49, 6719, 1904, 4892, 29, 90250, 14638, 99, 87, 920, 110, 1179, 0, 99, 74, 4, 12631, 29, 124, 20, 4, 139, 1, 514, 8134, 59, 58, 335, 47, 709, 20, 6554, 454, 568, 283, 634, 40, 327, 54, 1697, 1264, 2927, 761, 450, 3988, 920, 10048, 29, 284, 10, 483, 3680, 23, 14558, 0, 518, 19312, 114, 613, 7308, 297, 0, 10, 30, 265, 17, 32, 39932, 463, 61, 580, 1198, 1799, 8, 84, 65, 11661, 3241, 37, 4, 8, 206, 0, 16, 116, 2294, 15648, 1146, 5138, 19, 16, 11274, 15, 509, 222, 266, 109247, 3197, 53, 679]",0.4074074074074074
"[True, True, True, True, True, False]","[443, 10, 348, 103, 0, 2284]","[True, True, False, True, False, True, False, True, True, True, True, True, False, True, True, False, False, True, True]","[24219, 579, 3, 11048, 8722, 475, 28, 843, 130, 2549, 2028, 675, 4, 30, 1863, 1221, 1848, 21, 868]",0.4074074074074074
"[False, False, False, False]","[29, 65, 12, 77767]","[False, False, True, True, False, True, False, False, False, False, False, True, False, True, True, False, False, False, False, False, True, False, True, False, True, False, True, True, False, True, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, True, False, False, False, False, False, True, True, False, False, True, True, False, True, False, True, True, False, False, True, True, True, False, False, False, False, False, False, True, False, False, True, True, True, True, False, True, True, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, True, True, True]","[160, 1708, 139, 1, 347, 514, 8134, 188, 58, 59, 7030, 3413, 709, 1078, 2, 6554, 13163, 5823, 454, 568, 3, 283, 804, 634, 1848, 327, 54, 1264, 15, 31, 761, 450, 1064, 68, 23, 0, 0, 333, 5138, 10, 289, 8, 483, 3680, 34, 54, 0, 114, 613, 297, 23, 270, 0, 10, 30, 1166, 11, 74, 47, 265, 65, 2957, 32, 463, 2, 61, 580, 1198, 25, 1129, 7, 0, 23, 105, 11661, 3241, 37, 4, 206, 6719, 0, 16, 116, 4892, 90250, 2294, 15648, 5138, 14638, 19, 87, 0, 15, 509, 110, 1179, 0, 74, 4, 222, 124, 266, 3197, 116, 679]",0.48148148148148145
"[True, True, False]","[1, 2, 0]",[],[],0.3333333333333333
"[True, True, True]","[3978, 1638, 18208]","[False, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, False, False, True, True, True, False, False, False, False, True, False]","[382, 4, 6, 6, 37, 224, 331, 6446, 0, 6, 488, 684, 18, 115, 1181, 7447, 28127, 14, 223, 39600, 4898, 70, 2521, 16801, 246, 1123, 17879, 409, 409]",0.48148148148148145
"[True, True]","[649, 65]","[True, False, True, True, False, True]","[24219, 372, 2549, 3218, 2588, 579]",0.5555555555555556
"[True, True]","[920, 3413]","[True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True, True, False, True, True, False, True, True, True, True]","[51, 46, 516, 5182, 17328, 335, 204, 8, 0, 5511, 20, 40, 10048, 2, 51, 29, 13502, 42, 284, 0, 0, 23, 815, 105, 14558, 2, 518, 19312, 8201, 7308, 205, 1672, 5373, 11, 30, 77767, 6953, 66, 47, 17, 39932, 6, 25, 8, 644, 23, 84, 284, 37, 8, 49, 1904, 29, 99, 16, 11274, 0, 920, 99, 12631, 53, 116, 20, 4]",0.5925925925925926
"[True, True, True, True]","[226, 73, 1546, 1486]","[False, True, True, True, False, False, True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]","[0, 47824, 18, 8949, 34698, 0, 23, 374, 6433, 40249, 3559, 68, 2163, 31248, 1787, 38603, 11, 27, 6360, 208, 43649, 1179, 244, 1032, 0, 137, 42921]",0.4444444444444444
"[True, True, True]","[16, 3372, 1502]","[True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]","[455, 18, 195, 74, 149, 2927, 9896, 592, 3988, 36525, 339, 11, 84, 209, 6, 2256, 25, 1509, 188, 116, 1617, 19, 30]",0.6666666666666666
"[True, False]","[1, 562]",[],[],0.1111111111111111
"[False, False, False, False, False, True]","[3155, 41, 577, 6880, 87, 8718]","[True, True, True, True, False, True, True, True, False]","[1213, 15, 3994, 337, 6230, 946, 0, 3, 1772]",0.8148148148148149
"[True, False]","[8, 1511]",[],[],0.4074074074074074
"[True, True, True, False]","[0, 179, 201, 63]",[],[],0.3333333333333333
"[False, True]","[54, 42996]","[False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, True, False, False]","[22379, 1436, 1144, 4018, 16, 8267, 6513, 735, 35, 312, 4989, 325, 43, 0, 300, 4, 162, 3673, 2014]",0.5185185185185185
[False],[238],[],[],0.25925925925925924
"[True, True, False, True, True]","[9, 248, 45306, 8201, 1539]","[True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True]","[44, 11, 90, 30, 971, 51, 180, 128, 171, 516, 32, 2768, 350, 5532, 50207, 335, 3413, 840, 25, 20, 2756, 8, 2, 84, 10045, 48, 8, 14, 32, 142, 920, 47, 1904, 51, 24, 116, 42, 32, 0, 328, 920, 105, 46, 3033, 988, 1358, 30, 707, 5047, 0, 41, 20, 29]",0.5185185185185185
